satisfaction_level,number_project,average_montly_hours,time_spend_company,left,promotion_last_5years,sales,salary
0.72,2,247,3,0,0,technical,medium
0.48,4,245,3,0,0,management,medium
0.12,5,242,4,0,0,marketing,medium
0.78,5,158,2,0,0,marketing,medium
0.71,3,163,3,0,0,marketing,medium
0.38,3,99,3,0,0,sales,high
0.57,4,164,3,0,0,sales,low
0.72,3,160,3,0,0,sales,medium
0.6,2,184,3,0,0,sales,medium
0.61,5,266,2,0,0,sales,medium
0.67,4,190,2,0,0,sales,medium
0.97,5,192,2,0,0,sales,low
0.22,3,205,6,0,0,sales,low
0.15,4,205,5,0,0,sales,low
0.6,3,258,3,0,0,sales,low
0.15,5,151,2,0,0,sales,low
0.5,3,148,2,0,0,sales,low
0.9,3,179,2,0,0,sales,low
0.84,6,141,2,0,0,sales,low
0.74,5,216,2,0,0,sales,low
0.72,3,235,2,0,0,sales,low
0.93,3,160,4,0,0,sales,low
0.54,3,141,4,0,0,sales,low
0.87,4,246,2,0,0,sales,low
0.19,5,226,4,0,0,accounting,low
0.33,4,212,2,0,0,accounting,low
0.94,4,220,3,0,0,accounting,low
0.77,4,266,2,0,0,hr,low
0.48,3,183,2,0,0,hr,low
0.7,5,263,3,0,0,hr,low
0.54,4,161,4,0,0,hr,low
0.61,4,199,2,0,0,technical,low
0.97,4,258,4,0,0,technical,medium
0.6,3,209,2,0,0,technical,medium
0.93,5,135,3,0,0,technical,medium
0.48,4,222,2,0,0,technical,medium
0.16,5,192,3,0,0,technical,medium
0.18,3,250,3,0,0,technical,medium
0.84,3,187,3,0,0,technical,medium
0.69,4,217,3,0,0,technical,medium
0.22,4,213,3,0,0,technical,medium
0.83,4,273,3,0,0,technical,medium
0.58,2,132,3,0,0,support,medium
0.61,4,140,3,0,0,support,medium
0.67,4,173,2,0,0,support,high
0.56,4,189,2,0,0,support,low
0.74,3,156,3,0,0,support,medium
0.92,4,238,5,0,0,support,medium
0.81,5,230,2,0,0,support,medium
0.48,4,242,2,0,0,support,medium
0.73,4,197,3,0,0,support,low
0.97,6,164,5,0,0,support,low
0.15,6,248,5,0,0,support,low
0.69,5,255,6,0,0,technical,low
0.61,5,225,4,0,0,technical,low
0.86,3,151,2,0,0,technical,low
0.55,4,252,3,0,0,management,low
0.9,4,206,4,0,0,IT,low
0.65,2,141,2,0,0,IT,low
0.81,5,259,3,0,0,IT,low
0.65,5,250,3,0,0,IT,low
0.47,4,169,6,0,0,IT,low
0.93,3,200,3,0,0,product_mng,low
0.77,4,104,5,0,0,product_mng,low
0.87,6,176,3,0,0,product_mng,low
0.87,5,137,2,0,0,product_mng,low
0.65,2,151,3,0,0,IT,low
0.21,6,130,6,0,0,RandD,low
0.75,4,199,2,0,0,RandD,low
0.72,4,191,2,0,0,RandD,low
0.88,3,273,3,0,0,RandD,low
0.66,3,205,3,0,0,RandD,medium
0.8,3,181,3,0,0,marketing,medium
0.22,4,261,3,0,0,sales,medium
0.92,3,192,3,0,0,accounting,medium
0.54,4,271,3,0,0,support,medium
0.91,4,158,3,0,0,technical,medium
0.77,4,231,2,0,0,management,medium
0.61,3,156,3,0,0,marketing,medium
0.48,4,201,4,0,0,marketing,medium
0.25,3,187,4,0,0,marketing,medium
0.91,3,132,4,0,0,sales,medium
0.72,5,147,3,0,0,sales,medium
0.77,4,223,3,0,0,sales,high
0.41,2,194,2,0,0,sales,low
0.51,4,234,2,0,0,sales,medium
0.72,3,149,3,0,0,sales,medium
0.47,3,162,3,0,0,sales,medium
0.53,4,238,2,0,0,sales,medium
0.65,5,149,3,0,0,sales,low
0.18,4,170,5,0,0,sales,low
0.61,3,250,2,0,0,sales,low
0.86,4,167,2,0,0,sales,low
0.14,4,166,5,0,0,sales,low
0.63,3,205,2,0,0,sales,low
0.79,3,250,3,0,0,sales,low
0.78,4,142,3,0,0,sales,low
0.14,4,217,6,0,0,sales,low
0.85,3,139,3,0,0,sales,low
0.85,4,139,3,0,0,sales,low
0.91,5,152,3,0,0,accounting,low
0.76,3,224,2,0,0,accounting,low
0.62,5,180,3,0,0,accounting,low
0.53,4,216,2,0,0,hr,low
0.97,3,133,3,0,0,hr,low
0.48,4,271,3,0,0,hr,low
0.5,4,148,3,0,0,hr,low
0.32,2,99,4,0,0,technical,low
0.58,4,196,2,0,0,technical,low
0.81,3,196,2,0,0,technical,low
0.48,4,228,3,0,0,technical,medium
0.96,4,165,2,0,0,technical,medium
0.56,3,235,2,0,0,technical,medium
0.63,4,167,2,0,0,technical,medium
0.21,5,255,5,0,0,technical,medium
0.94,3,184,3,0,0,technical,medium
0.94,4,239,3,0,0,technical,medium
0.96,3,153,2,0,0,technical,medium
0.49,4,187,5,0,0,support,medium
0.82,2,285,2,0,0,support,medium
0.6,3,274,3,0,0,support,medium
0.76,3,156,3,0,0,support,medium
0.69,5,265,2,0,0,support,high
1,4,144,3,0,0,support,low
0.62,4,143,3,0,0,support,medium
0.4,4,214,6,0,0,support,medium
0.94,3,163,3,0,0,support,medium
0.76,4,236,4,0,0,support,medium
0.58,3,146,4,0,0,support,low
0.85,4,106,2,0,0,technical,low
0.45,2,105,3,0,0,technical,low
0.13,3,181,4,0,0,technical,low
0.24,5,174,4,0,0,management,low
0.64,3,207,2,0,0,IT,low
0.63,6,118,2,0,0,IT,low
0.61,4,251,2,0,0,IT,low
0.71,2,136,3,0,0,IT,low
0.9,5,249,3,0,0,IT,low
0.17,4,171,5,0,0,product_mng,low
0.93,3,256,2,0,0,product_mng,low
0.83,5,141,3,0,0,product_mng,low
0.58,4,186,2,0,0,product_mng,low
0.76,3,258,3,0,0,IT,low
0.5,3,228,2,0,0,RandD,low
0.22,5,205,4,0,0,RandD,low
0.9,4,174,3,0,0,RandD,low
0.7,3,155,4,0,0,RandD,low
0.73,5,245,3,0,0,RandD,low
0.84,3,271,3,0,0,marketing,low
0.55,5,184,4,0,0,marketing,medium
0.63,4,175,2,0,0,sales,medium
0.51,3,224,3,0,0,accounting,medium
0.81,4,177,3,0,0,support,medium
0.8,4,268,3,0,0,technical,medium
0.99,4,208,3,0,0,management,medium
0.9,5,219,2,0,0,marketing,medium
0.65,5,128,5,0,0,marketing,medium
0.75,3,273,3,0,0,marketing,medium
0.62,4,218,4,0,0,sales,medium
0.61,5,230,3,0,0,sales,medium
0.24,4,195,5,0,0,sales,medium
0.71,3,254,3,0,0,sales,high
0.49,2,275,2,0,0,sales,low
0.44,3,162,2,0,0,sales,medium
0.75,4,193,3,0,0,sales,medium
0.74,3,239,4,0,0,sales,medium
0.62,5,149,3,0,0,sales,medium
0.51,3,155,3,0,0,sales,low
0.61,5,271,2,0,0,sales,low
0.56,5,163,3,0,0,sales,low
0.79,3,160,3,0,0,sales,low
0.68,6,274,5,0,0,sales,low
0.9,2,199,3,0,0,sales,low
0.83,5,241,3,0,0,sales,low
0.94,3,187,3,0,0,sales,low
0.21,5,223,3,0,0,sales,low
0.58,3,268,2,0,0,sales,low
0.52,6,169,3,0,0,accounting,low
0.18,5,285,5,0,0,accounting,low
0.94,5,254,3,0,0,accounting,low
0.69,3,208,4,0,0,hr,low
0.65,4,218,3,0,0,hr,low
0.46,2,187,3,0,0,hr,low
0.72,4,256,3,0,0,hr,low
0.3,6,278,3,0,0,technical,low
0.51,4,204,2,0,0,technical,low
0.43,3,108,2,0,0,technical,low
0.56,3,226,2,0,0,technical,low
0.63,4,246,3,0,0,technical,medium
0.61,5,260,3,0,0,technical,medium
0.53,4,248,2,0,0,technical,medium
0.87,3,132,3,0,0,technical,medium
0.68,4,185,4,0,0,technical,medium
0.78,3,269,2,0,0,technical,medium
0.49,4,156,2,0,0,technical,medium
0.96,3,212,3,0,0,support,medium
0.83,3,221,2,0,0,support,medium
0.48,5,273,3,0,0,support,medium
0.63,4,271,3,0,0,support,medium
0.87,4,183,5,0,0,support,medium
0.21,4,271,6,0,0,support,high
0.79,5,165,3,0,0,support,low
0.8,3,257,5,0,0,support,medium
0.78,4,143,3,0,0,support,medium
0.67,5,156,2,0,0,support,medium
0.67,3,190,3,0,0,support,medium
0.26,2,242,6,0,0,technical,low
0.89,5,267,4,0,0,technical,low
0.7,4,152,3,0,0,technical,low
0.51,5,136,4,0,0,management,low
0.53,3,157,3,0,0,IT,low
0.76,4,281,3,0,0,IT,low
0.86,5,208,2,0,0,IT,low
0.63,5,152,3,0,0,IT,low
0.58,5,271,3,0,0,IT,low
0.58,4,163,3,0,0,product_mng,low
0.9,4,136,3,0,0,product_mng,low
0.79,4,233,2,0,0,product_mng,low
0.8,4,221,4,0,0,product_mng,low
0.53,2,189,2,0,0,IT,low
0.52,2,226,3,0,0,RandD,low
0.82,5,201,3,0,0,RandD,low
0.68,2,133,4,0,0,RandD,low
0.21,3,173,2,0,0,RandD,low
0.81,4,152,3,0,0,RandD,low
0.57,3,256,4,0,0,RandD,low
0.99,3,119,2,0,0,marketing,low
0.9,4,207,3,0,0,sales,medium
0.76,3,189,3,0,0,accounting,medium
0.56,4,172,2,0,0,support,medium
0.5,6,150,3,0,0,technical,medium
0.48,5,179,3,0,0,management,medium
0.99,3,257,2,0,0,marketing,medium
0.76,5,229,2,0,0,marketing,medium
0.93,4,227,3,0,0,marketing,medium
0.99,4,140,3,0,0,sales,medium
0.85,4,251,3,0,0,sales,medium
0.63,4,137,3,0,0,sales,medium
0.63,3,153,3,0,0,sales,medium
0.5,5,242,3,0,0,sales,high
0.52,3,150,3,0,0,sales,low
0.63,3,247,3,0,0,sales,medium
0.78,4,212,2,0,0,sales,medium
0.98,3,234,3,0,0,sales,medium
0.14,5,174,5,0,0,sales,medium
0.7,3,225,2,0,0,sales,low
0.88,4,224,2,0,0,sales,low
0.72,3,270,4,0,0,sales,low
0.88,4,139,3,0,0,sales,low
0.71,3,248,4,0,0,sales,low
0.6,3,172,2,0,0,sales,low
0.88,4,224,3,0,0,sales,low
0.55,5,232,4,0,0,sales,low
0.85,4,260,2,0,0,sales,low
0.84,2,117,4,0,0,accounting,low
0.91,4,243,2,0,0,accounting,low
0.82,4,202,2,0,0,accounting,low
0.6,2,168,4,0,0,hr,low
0.89,5,194,3,0,0,hr,low
0.6,4,219,4,0,0,hr,low
0.64,4,207,3,0,0,hr,low
0.93,4,177,3,0,0,technical,low
0.81,3,239,2,0,0,technical,low
0.31,4,165,3,0,0,technical,low
0.68,4,225,2,0,0,technical,low
0.78,3,212,2,0,0,technical,low
0.44,4,159,4,0,0,technical,medium
0.64,4,233,2,0,0,technical,medium
0.81,4,108,6,0,0,technical,medium
0.5,3,214,3,0,0,technical,medium
0.69,5,229,3,0,0,technical,medium
0.77,4,223,3,0,0,technical,medium
0.69,4,178,3,0,0,support,medium
0.87,4,246,2,0,0,support,medium
0.85,4,145,3,0,0,support,medium
0.83,4,224,4,0,0,support,medium
0.68,3,259,3,0,0,support,medium
0.78,4,207,2,0,0,support,medium
0.78,3,253,3,0,0,support,high
0.93,4,196,2,0,0,support,low
0.54,3,240,3,0,0,support,medium
0.76,3,255,3,0,0,support,medium
0.4,3,139,2,0,0,support,medium
0.73,3,168,2,0,0,technical,medium
0.86,5,233,3,0,0,technical,low
0.38,5,211,6,0,0,technical,low
0.71,5,114,3,0,0,management,low
0.58,5,202,2,0,0,IT,low
0.67,3,177,3,0,0,IT,low
0.55,4,233,4,0,0,IT,low
0.76,2,111,2,0,0,IT,low
0.7,3,178,3,0,0,IT,low
0.66,4,204,4,0,0,product_mng,low
0.96,3,272,3,0,0,product_mng,low
0.6,4,157,4,0,0,product_mng,low
0.54,5,229,3,0,0,product_mng,low
0.85,5,202,3,0,0,IT,low
0.96,3,264,3,0,0,RandD,low
0.86,3,256,3,0,0,RandD,low
0.53,3,151,2,0,0,RandD,low
0.91,3,251,3,0,0,RandD,low
0.33,5,271,4,0,0,RandD,low
0.75,4,274,2,0,0,RandD,low
0.97,3,169,3,0,0,marketing,low
0.68,4,176,4,0,0,sales,low
0.68,5,168,2,0,0,accounting,medium
0.57,4,171,2,0,0,support,medium
0.87,4,214,3,0,0,technical,medium
0.5,5,224,2,0,0,management,medium
0.76,3,191,4,0,0,marketing,medium
0.79,5,96,4,0,0,marketing,medium
0.17,6,217,6,0,0,marketing,medium
0.6,4,135,2,0,0,sales,medium
0.89,3,226,3,0,0,sales,medium
0.69,3,202,2,0,0,sales,medium
0.68,2,180,6,0,0,sales,medium
0.61,5,174,4,0,0,sales,medium
0.63,3,140,2,0,0,sales,high
0.5,4,147,3,0,0,sales,low
0.49,2,263,3,0,0,sales,medium
0.83,5,261,5,0,0,sales,medium
0.59,2,176,2,0,0,sales,medium
0.75,2,98,5,0,0,sales,medium
0.66,3,192,3,0,0,sales,low
0.68,4,157,3,0,0,sales,low
0.73,5,230,3,0,0,sales,low
0.98,4,192,2,0,0,sales,low
0.86,3,161,3,0,0,sales,low
0.5,3,176,3,0,0,sales,low
0.76,3,216,3,0,0,sales,low
0.3,4,176,2,0,0,sales,low
0.3,3,276,5,0,0,accounting,low
0.64,3,174,3,0,0,accounting,low
0.59,3,106,2,0,0,accounting,low
0.85,4,154,3,0,0,hr,low
0.76,3,271,5,0,0,hr,low
0.63,5,246,2,0,0,hr,low
0.65,4,264,2,0,0,hr,low
0.43,3,197,2,0,0,technical,low
0.83,4,165,2,0,0,technical,low
0.49,4,218,2,0,0,technical,low
0.67,3,203,2,0,0,technical,low
0.9,2,107,6,0,0,technical,low
0.83,3,179,2,0,0,technical,low
0.92,5,264,3,0,0,technical,medium
0.83,5,154,3,0,0,technical,medium
0.64,4,167,3,0,0,technical,medium
0.93,4,158,3,0,0,technical,medium
0.6,4,227,3,0,0,technical,medium
0.74,3,230,2,0,0,support,medium
0.56,5,143,5,0,0,support,medium
0.61,4,142,3,0,0,support,medium
0.63,4,184,4,0,0,support,medium
0.24,5,169,4,0,0,support,medium
0.17,5,218,4,0,0,support,medium
0.46,2,121,3,0,0,support,medium
0.68,4,251,4,0,0,support,high
0.68,2,192,6,0,0,support,low
0.16,6,227,5,0,0,support,medium
0.15,6,140,5,0,0,support,medium
0.55,3,152,2,0,0,technical,medium
0.72,4,202,4,0,0,technical,medium
0.91,2,219,4,0,0,technical,low
0.3,4,248,4,0,0,management,low
0.56,5,203,2,0,0,IT,low
0.94,3,255,3,0,0,IT,low
0.82,5,177,3,0,0,IT,low
0.66,5,185,3,0,0,IT,low
0.74,4,101,6,0,0,IT,low
0.63,3,246,3,0,0,product_mng,low
0.65,6,220,2,0,0,product_mng,low
0.56,3,145,2,0,0,product_mng,low
0.32,6,194,5,0,0,product_mng,low
0.8,4,241,2,0,0,IT,low
0.34,6,175,4,0,0,RandD,low
0.62,5,149,2,0,0,RandD,low
0.5,3,253,2,0,0,RandD,low
0.58,5,218,3,0,0,RandD,low
0.94,2,263,3,0,0,RandD,low
0.67,4,247,3,0,0,RandD,low
0.2,6,148,4,0,0,marketing,low
0.91,5,162,2,0,0,sales,low
0.91,2,255,4,0,0,accounting,low
0.78,3,191,3,0,0,support,medium
0.82,3,217,4,0,0,technical,medium
0.54,3,201,3,0,0,management,medium
0.53,3,253,3,0,0,marketing,medium
0.47,4,122,5,0,0,marketing,medium
0.87,3,269,3,0,0,marketing,medium
0.5,4,161,3,0,0,sales,medium
0.59,3,156,2,0,0,sales,medium
0.89,3,173,3,0,0,sales,medium
0.54,4,152,3,0,0,sales,medium
0.62,3,145,3,0,0,sales,medium
0.91,3,248,3,0,0,sales,medium
0.84,2,184,2,0,0,sales,high
0.69,4,232,2,0,0,sales,low
0.76,3,162,2,0,0,sales,medium
0.8,4,269,3,0,0,sales,medium
0.4,5,108,3,0,0,sales,medium
0.8,3,248,3,0,0,sales,medium
0.76,2,122,5,0,0,sales,low
0.55,4,273,2,0,0,sales,low
0.98,3,285,6,0,0,sales,low
0.54,4,227,3,0,0,sales,low
0.63,4,248,2,0,0,sales,low
0.88,3,257,3,0,0,sales,low
0.5,5,194,3,0,0,sales,low
0.52,3,253,3,0,0,accounting,low
0.89,4,141,3,0,0,accounting,low
0.55,4,199,3,0,0,accounting,low
0.51,3,143,2,0,0,hr,low
0.35,5,244,3,0,0,hr,low
0.54,5,173,2,0,0,hr,low
0.72,4,186,3,0,0,hr,low
0.61,2,247,3,0,0,technical,low
0.17,3,218,4,0,0,technical,low
0.71,3,140,2,0,0,technical,low
0.88,4,166,2,0,0,technical,low
0.48,3,216,2,0,0,technical,low
0.16,6,235,3,0,0,technical,low
0.62,3,188,3,0,0,technical,low
0.59,3,143,2,0,0,technical,medium
0.14,4,198,4,0,0,technical,medium
0.96,4,148,3,0,0,technical,medium
0.96,6,101,4,0,0,technical,medium
0.13,4,249,6,0,0,support,medium
0.64,5,249,3,0,0,support,medium
0.64,5,198,2,0,0,support,medium
0.57,3,202,3,0,0,support,medium
0.49,3,176,3,0,0,support,medium
0.89,4,133,2,0,0,support,medium
0.94,5,238,2,0,0,support,medium
0.51,2,181,4,0,0,support,medium
0.8,5,242,3,0,0,support,high
0.74,4,185,2,0,0,support,low
0.66,4,237,3,0,0,support,medium
0.66,5,244,3,0,0,technical,medium
0.59,3,178,4,0,0,technical,medium
0.91,3,164,3,0,0,technical,medium
0.83,5,189,4,0,0,management,low
0.5,3,212,2,0,0,IT,low
0.69,4,233,3,0,0,IT,low
0.87,5,268,3,0,0,IT,low
0.37,2,155,2,0,0,IT,low
0.9,4,257,3,0,0,IT,low
0.68,4,254,5,0,0,product_mng,low
0.93,4,143,3,0,0,product_mng,low
0.95,3,225,2,0,0,product_mng,low
0.99,4,223,2,0,0,product_mng,low
0.64,2,101,6,0,0,IT,low
0.96,2,159,6,0,0,RandD,low
0.92,5,141,2,0,0,RandD,low
0.22,5,147,5,0,0,RandD,low
0.82,5,252,3,0,0,RandD,low
0.75,3,196,3,0,0,RandD,low
0.2,6,244,3,0,0,RandD,low
0.64,3,142,3,0,0,marketing,low
0.62,4,155,4,0,0,sales,low
0.73,3,219,2,0,0,accounting,low
0.52,3,213,4,0,0,support,low
0.63,5,263,3,0,0,technical,medium
0.84,4,274,3,0,0,management,medium
0.49,3,140,3,0,0,marketing,medium
0.54,4,176,2,0,0,marketing,medium
0.52,4,206,2,0,0,marketing,medium
0.66,6,223,6,0,0,sales,medium
0.73,2,231,6,0,0,sales,medium
0.54,3,250,3,0,0,sales,medium
0.72,5,266,4,0,0,sales,medium
0.75,4,247,3,0,0,sales,medium
0.77,3,189,2,0,0,sales,medium
0.42,5,227,5,0,0,sales,medium
0.13,4,127,4,0,0,sales,high
0.73,5,204,5,0,0,sales,low
0.5,5,137,3,0,0,sales,medium
0.92,4,265,3,0,0,sales,medium
0.73,3,135,2,0,0,sales,medium
0.74,2,126,3,0,0,sales,medium
0.76,3,189,2,0,0,sales,low
0.53,3,207,4,0,0,sales,low
0.65,3,134,3,0,0,sales,low
0.91,4,203,2,0,0,sales,low
0.69,5,222,3,0,0,sales,low
0.56,3,232,2,0,0,sales,low
0.55,4,267,5,0,0,accounting,low
0.74,5,131,3,0,0,accounting,low
0.86,3,155,4,0,0,accounting,low
0.82,3,232,3,0,0,hr,low
0.35,3,137,5,0,0,hr,low
0.93,4,136,4,0,0,hr,low
0.55,3,237,2,0,0,hr,low
0.99,4,190,3,0,0,technical,low
0.91,4,144,3,0,0,technical,low
0.24,6,194,3,0,0,technical,low
0.77,3,186,2,0,0,technical,low
0.64,3,218,3,0,0,technical,low
0.58,5,260,2,0,0,technical,low
0.65,4,200,4,0,0,technical,low
0.44,3,140,3,0,0,technical,low
0.59,2,156,3,0,0,technical,medium
0.99,3,193,3,0,0,technical,medium
0.75,4,145,3,0,0,technical,medium
0.77,4,217,2,0,0,support,medium
0.85,4,162,3,0,0,support,medium
0.77,5,182,4,0,0,support,medium
0.54,3,221,3,0,0,support,medium
0.69,4,208,2,0,0,support,medium
0.66,5,161,3,0,0,support,medium
0.51,4,269,3,0,0,support,medium
0.74,4,155,3,0,0,support,medium
0.55,3,110,3,0,0,support,medium
0.65,3,154,3,0,0,support,high
0.2,6,213,4,0,0,support,low
0.92,5,248,3,0,0,technical,medium
0.57,3,202,3,0,0,technical,medium
0.75,2,251,6,0,0,technical,medium
0.68,3,239,2,0,0,management,medium
0.97,3,203,3,0,0,IT,low
0.79,4,184,5,0,0,IT,low
0.66,4,203,3,0,0,IT,low
0.96,3,214,2,0,0,IT,low
0.73,4,161,3,0,0,IT,low
0.29,5,234,2,0,0,product_mng,low
0.58,3,151,2,0,0,product_mng,low
0.72,4,149,3,0,0,product_mng,low
0.94,4,240,3,0,0,product_mng,low
0.48,5,140,2,0,0,IT,low
0.6,3,187,2,0,0,RandD,low
0.97,5,156,2,0,0,RandD,low
0.74,4,250,4,0,0,RandD,low
0.97,3,165,2,0,0,RandD,low
0.88,5,260,3,0,0,RandD,low
0.5,3,274,3,0,0,marketing,low
0.93,4,160,3,0,0,sales,low
0.3,5,280,4,0,0,accounting,low
0.69,3,142,3,0,0,support,low
0.69,2,155,2,0,0,technical,low
0.53,4,167,2,0,0,management,low
0.32,3,263,3,0,0,marketing,medium
0.73,3,259,4,0,0,marketing,medium
0.77,4,223,3,0,0,marketing,medium
0.59,6,123,5,0,0,sales,medium
0.19,5,226,3,0,0,sales,medium
0.78,3,270,2,0,0,sales,medium
0.84,3,139,3,0,0,sales,medium
0.65,5,241,2,0,0,sales,medium
0.38,2,160,6,0,0,sales,medium
0.12,3,258,5,0,0,sales,medium
0.74,5,106,5,0,0,sales,medium
0.67,4,171,2,0,0,sales,medium
0.5,3,186,3,0,0,sales,high
0.99,6,214,5,0,0,sales,low
0.79,4,240,3,0,0,sales,medium
0.72,4,164,3,0,0,sales,medium
0.83,4,232,3,0,0,sales,medium
0.69,5,242,2,0,0,sales,medium
0.5,5,222,3,0,0,sales,low
0.82,3,139,2,0,0,sales,low
0.68,4,272,3,0,0,sales,low
0.82,4,262,2,0,0,sales,low
0.32,2,249,3,0,0,accounting,low
0.93,4,219,3,0,0,accounting,low
0.42,4,208,5,0,0,accounting,low
0.22,3,166,6,0,0,hr,low
0.56,3,174,3,0,0,hr,low
0.77,4,225,3,0,0,hr,low
0.29,2,116,6,0,0,hr,low
0.97,3,219,2,0,0,technical,low
0.91,4,196,2,0,0,technical,low
0.52,4,210,3,0,0,technical,low
0.54,2,219,3,0,0,technical,low
0.54,3,197,3,0,0,technical,low
0.67,2,102,6,0,0,technical,low
0.72,3,186,4,0,0,technical,low
0.68,4,224,2,0,0,technical,low
0.65,3,283,2,0,0,technical,low
0.72,5,197,4,0,0,technical,low
0.51,5,267,3,0,0,technical,medium
0.8,4,172,3,0,0,support,medium
0.83,4,261,2,0,0,support,medium
0.15,3,204,4,0,0,support,medium
0.5,4,237,2,0,0,support,medium
0.8,2,212,3,0,0,support,medium
0.96,4,217,2,0,0,support,medium
0.67,5,159,3,0,0,support,medium
0.98,5,139,3,0,0,support,medium
0.88,5,230,3,0,0,support,medium
0.85,3,157,4,0,0,support,medium
0.75,5,269,3,0,0,support,medium
0.38,2,170,3,0,0,technical,high
0.55,2,197,4,0,0,technical,low
0.63,4,246,3,0,0,technical,medium
0.78,4,278,3,0,0,management,medium
0.99,5,138,2,0,0,IT,medium
0.72,3,238,3,0,0,IT,medium
0.14,5,175,6,0,0,IT,low
0.81,4,216,3,0,0,IT,low
0.73,4,196,4,0,0,IT,low
0.58,5,187,3,0,0,product_mng,low
0.24,4,155,5,0,0,product_mng,low
0.31,3,205,5,0,0,product_mng,low
0.74,3,230,2,0,0,product_mng,low
0.86,5,157,3,0,0,IT,low
0.22,4,287,4,0,0,RandD,low
0.66,4,161,3,0,0,RandD,low
0.21,5,239,2,0,0,RandD,low
0.95,3,267,2,0,0,RandD,low
0.24,5,208,5,0,0,RandD,low
0.66,3,133,3,0,0,marketing,low
0.88,3,187,3,0,0,marketing,low
0.67,4,140,2,0,0,sales,low
0.75,4,270,3,0,0,accounting,low
0.93,3,147,3,0,0,support,low
0.64,3,181,2,0,0,technical,low
0.51,3,156,3,0,0,management,low
0.98,4,207,3,0,0,marketing,low
0.72,4,241,4,0,0,marketing,medium
0.51,4,154,3,0,0,marketing,medium
0.54,4,206,3,0,0,sales,medium
0.99,4,204,2,0,0,sales,medium
0.44,4,117,3,0,0,sales,medium
0.74,5,144,3,0,0,sales,medium
0.9,3,156,3,0,0,sales,medium
0.86,4,211,4,0,0,sales,medium
0.66,3,149,4,0,0,sales,medium
0.64,4,152,5,0,0,sales,medium
0.5,4,192,2,0,0,sales,medium
0.88,4,274,4,0,0,sales,medium
0.72,5,168,6,0,0,sales,high
0.53,4,205,3,0,0,sales,low
0.83,3,228,3,0,0,sales,medium
0.24,4,228,5,0,0,sales,medium
0.66,5,227,3,0,0,sales,medium
0.43,3,156,3,0,0,sales,medium
0.75,5,177,2,0,0,sales,low
0.42,6,188,5,0,0,sales,low
0.54,3,185,4,0,0,sales,low
0.84,3,153,4,0,0,accounting,low
0.95,4,174,3,0,0,accounting,low
0.6,4,209,3,0,0,accounting,low
0.95,3,251,2,0,0,hr,low
0.62,3,153,3,0,0,hr,low
0.89,3,210,2,0,0,hr,low
0.73,5,167,3,0,0,hr,low
0.86,3,151,2,0,0,technical,low
0.76,3,158,2,0,0,technical,low
0.91,3,116,5,0,0,technical,low
1,5,178,2,0,0,technical,low
0.98,4,155,3,0,0,technical,low
0.65,3,151,2,0,0,technical,low
0.62,4,216,2,0,0,technical,low
0.83,5,179,3,0,0,technical,low
0.75,4,135,4,0,0,technical,low
0.82,4,232,4,0,0,technical,low
0.69,4,168,3,0,0,technical,low
0.41,6,171,5,0,0,support,medium
0.52,5,258,2,0,0,support,medium
0.74,3,221,2,0,0,support,medium
0.33,5,97,3,0,0,support,medium
0.8,3,164,3,0,0,support,medium
0.82,4,237,3,0,0,support,medium
0.59,5,161,2,0,0,support,medium
0.98,4,134,2,0,0,support,medium
0.93,4,188,3,0,0,support,medium
0.49,4,181,3,0,0,support,medium
0.6,4,160,2,0,0,support,medium
0.34,6,197,5,0,0,technical,medium
0.71,3,145,3,0,0,technical,high
0.6,5,221,2,0,0,technical,low
0.12,6,260,5,0,0,management,medium
0.16,3,99,5,0,0,IT,medium
0.57,3,243,3,0,0,IT,medium
0.72,5,244,3,0,0,IT,medium
0.91,4,179,4,0,0,IT,low
0.95,4,146,6,0,0,IT,low
0.71,3,262,2,0,0,product_mng,low
0.9,4,174,2,0,0,product_mng,low
0.66,4,148,4,0,0,product_mng,low
0.48,5,235,3,0,0,product_mng,low
0.82,5,285,2,0,0,IT,low
0.83,4,143,3,0,0,RandD,low
0.85,6,141,5,0,0,RandD,low
0.84,3,125,4,0,0,RandD,low
0.99,4,232,3,0,0,RandD,low
0.54,3,172,2,0,0,RandD,low
0.64,5,283,5,0,0,marketing,low
0.67,3,189,3,0,0,sales,low
0.48,2,144,3,0,0,accounting,low
0.58,4,145,3,0,0,support,low
0.54,3,200,3,0,0,technical,low
0.25,3,264,4,0,0,management,low
0.9,3,215,3,0,0,marketing,low
0.48,4,272,3,0,0,marketing,low
0.76,5,142,3,0,0,marketing,low
0.72,5,240,2,0,0,sales,medium
0.95,4,168,2,0,0,sales,medium
0.73,4,171,4,0,0,sales,medium
0.93,3,159,2,0,0,sales,medium
0.89,3,175,4,0,0,sales,medium
0.7,4,244,3,0,0,sales,medium
0.98,3,198,3,0,0,sales,medium
0.72,5,151,3,0,0,sales,medium
0.49,2,188,4,0,0,sales,medium
0.15,3,199,2,0,0,sales,medium
0.57,4,257,3,0,0,sales,medium
0.21,4,144,4,0,0,sales,medium
0.46,4,275,3,0,0,sales,high
0.56,3,243,3,0,0,sales,low
0.81,3,181,2,0,0,sales,medium
0.93,5,172,3,0,0,sales,medium
0.82,3,244,5,0,0,sales,medium
0.76,4,242,3,0,0,sales,medium
0.97,3,249,2,0,0,sales,low
0.38,5,128,3,0,0,accounting,low
